movie,user1,user2,user3,user4,user5,user6,user7,user8,user9,user10,adventure,animation,children,comedy,fantasy,romance,drama,thriller,crime,horror,mystery,scifi,action
Toy Story (1995),1,4,5,1,5,0,2,5,5,4,1,1,1,1,1,0,0,0,0,0,0,0,0
Jumanji (1995),4,4,5,2,3,5,3,1,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0
Grumpier Old Men (1995),0,5,3,2,0,5,5,3,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Waiting to Exhale (1995),5,3,2,4,2,4,3,0,4,5,0,0,0,1,0,0,1,0,0,0,0,0,0
Father of the Bride Part II (1995),3,0,4,3,1,4,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Heat (1995),5,1,2,2,0,3,1,5,3,2,0,0,0,0,0,0,0,1,1,0,0,0,1
Sabrina (1995),3,4,5,1,0,1,4,5,2,3,0,0,0,1,0,1,0,0,0,0,0,0,0
Tom and Huck (1995),4,3,3,3,0,0,0,4,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0
Sudden Death (1995),3,2,5,2,4,0,2,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1
GoldenEye (1995),5,4,4,2,2,5,5,3,3,3,1,0,0,0,0,0,0,1,0,0,0,0,1
"American President, The (1995)",5,4,4,2,4,3,0,0,4,3,0,0,0,1,0,1,1,0,0,0,0,0,0
Dracula: Dead and Loving It (1995),2,5,5,5,3,3,1,1,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Balto (1995),2,2,5,5,2,3,0,3,4,5,1,1,1,0,0,0,0,0,0,0,0,0,0
Nixon (1995),5,2,0,1,3,4,1,3,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Cutthroat Island (1995),3,3,0,3,0,2,5,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1
Casino (1995),5,5,3,5,3,0,0,3,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0
Sense and Sensibility (1995),5,5,1,2,4,2,0,2,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0
Four Rooms (1995),0,0,1,0,5,4,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
